City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Trairi,BR,75.76,overcast clouds,-3.2778,-39.2689,janelas do mar
2,Saint George,US,82.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
3,Hithadhoo,MV,84.79,overcast clouds,-0.6,73.0833,Scoop Guest House
4,Rikitea,PF,76.77,moderate rain,-23.1203,-134.9692,People ThankYou
6,Patterson,US,75.02,clear sky,37.4716,-121.1297,Best Western Plus Villa Del Lago Inn
8,Tabou,CI,79.56,light rain,4.423,-7.3528,hotêl doufoulougou
9,Atuona,PF,79.21,clear sky,-9.8,-139.0333,Villa Enata
15,Hilo,US,78.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
16,Yaan,NG,77.5,moderate rain,7.3833,8.5667,
19,Cabo San Lucas,MX,78.06,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
26,Baton Rouge,US,78.87,clear sky,30.4508,-91.1545,Hilton Baton Rouge Capitol Center
31,Blackwater,AU,82.45,scattered clouds,-23.5833,148.8833,Blackwater Motor Inn
43,Ferkessedougou,CI,80.37,overcast clouds,9.6,-5.2,Hotel Chateau
44,Taoudenni,ML,76.66,clear sky,22.6783,-3.9836,
53,Boyolangu,ID,83.57,overcast clouds,-8.1181,111.8935,Yos ega cv
60,Tessalit,ML,75.81,clear sky,20.1986,1.0114,
63,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
68,Biak,ID,83.08,broken clouds,-0.9131,122.8766,Penginapan Kim
71,Isangel,VU,81.41,light rain,-19.55,169.2667,Tanna Lodge
72,Iralaya,HN,79.12,overcast clouds,15.0,-83.2333,Iglesia morava renovada
76,Wichita Falls,US,75.34,clear sky,33.9137,-98.4934,Quality Inn & Suites Wichita Falls I-44
78,Biu,NG,77.29,overcast clouds,10.6129,12.1946,Emir's Palace
82,Faanui,PF,81.19,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
83,Butaritari,KI,81.23,light rain,3.0707,172.7902,Isles Sunset Lodge
86,Pahrump,US,84.43,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
89,Le Vauclin,MQ,78.85,clear sky,14.5452,-60.8388,Hôtel Cap Macabou
92,Alofi,NU,82.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
93,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
95,Agadez,NE,84.58,overcast clouds,19.75,10.25,
97,Kavieng,PG,83.14,light rain,-2.5744,150.7967,Nusa Island Retreat
102,Kaili,ID,77.58,scattered clouds,-3.4626,120.2147,
105,Koungou,YT,80.31,moderate rain,-12.7336,45.2042,Villa Netibor
109,Celestun,MX,76.69,scattered clouds,20.8667,-90.4,Posada Lilia
110,Bengkulu,ID,75.42,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
111,Arawa,PG,85.6,light rain,-6.2132,155.5367,Coastline Guest House
112,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
115,Kudahuvadhoo,MV,85.78,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
117,Zacatepec,MX,89.65,overcast clouds,18.65,-99.2,Villas El Paraíso
120,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
121,Vanimo,PG,87.46,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
123,Kiunga,PG,89.64,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
124,Atar,MR,78.31,overcast clouds,20.5169,-13.0499,Oumou Elghoura
132,Ahuimanu,US,82.11,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
134,Cabedelo,BR,77.67,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
135,Hue,VN,80.71,broken clouds,16.4667,107.6,Saigon Morin Hotel
140,Umm Kaddadah,SD,79.95,broken clouds,13.6017,26.6876,
143,San Patricio,US,79.9,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
148,Ahvaz,IR,75.15,clear sky,31.3203,48.6693,tashrifat tourism travel agency
164,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
170,Honolulu,US,82.22,broken clouds,21.3069,-157.8583,Aston at the Executive Centre Hotel
171,Georgetown,MY,84.15,few clouds,5.4112,100.3354,Cititel Penang
174,Iquitos,PE,75.24,clear sky,-3.7481,-73.2472,Cortez Malaga Techy Caroly
179,Luba,GQ,76.89,overcast clouds,3.4568,8.5547,
180,Samarai,PG,82.17,broken clouds,-10.6167,150.6667,Nuli Sapi
183,Harper,LR,79.32,overcast clouds,4.375,-7.7169,Screensaver
191,Otukpo,NG,77.34,light rain,7.1913,8.1329,Queen s Hotel
194,Padang,ID,80.65,light rain,-0.9492,100.3543,Mercure Padang
196,Kanniyakumari,IN,83.95,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
197,Poum,NC,76.98,clear sky,-20.2333,164.0167,
198,Arlit,NE,85.64,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
199,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
201,Pendencias,BR,76.24,broken clouds,-5.26,-36.7222,Cabanas Pousada
202,Turbat,PK,88.25,overcast clouds,26.0023,63.044,Mubashar Quarters
206,Conde,BR,76.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
208,Kloulklubed,PW,83.08,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
214,Kismayo,SO,81.9,overcast clouds,-0.3582,42.5454,Agan-Hotel
217,Itarema,BR,76.59,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
221,Bombo,ID,86.4,overcast clouds,-8.6131,119.0131,Losmen Mustika
222,Port-Gentil,GA,80.47,moderate rain,-0.7193,8.7815,Fengshui Residence
223,Kassala,SD,84.56,clear sky,15.451,36.4,Amassi Hotel Gash
239,Sur,OM,86.05,broken clouds,22.5667,59.5289,Sur Plaza Hotel
242,Larap,PH,86.47,broken clouds,14.299,122.6504,Montemayor Cove
252,Marawi,PH,80.42,scattered clouds,7.9986,124.2928,Derogongan Residence
258,Mae Hong Son,TH,75.34,mist,19.3003,97.9685,Baiyoke Chalet Hotel
261,Jibuti,DJ,75.67,few clouds,11.5,42.5,Orchid Main Camp Goubet
263,Filingue,NE,86.94,overcast clouds,14.3521,3.3168,
269,Fundacion,CO,80.96,overcast clouds,10.5207,-74.185,ITN Fundación Magdalena
272,Lufilufi,WS,87.58,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
288,Soyo,AO,77.65,overcast clouds,-6.1349,12.3689,Hotel Mpampa
291,Roebourne,AU,82.96,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
292,Tual,ID,84.24,broken clouds,-5.6667,132.75,Grand Vilia Hotel
299,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
302,Acapulco,MX,79.38,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
303,Mareeba,AU,75.43,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
304,Takoradi,GH,79.59,few clouds,4.8845,-1.7554,Raybow International Hotel
309,Pochutla,MX,81.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
312,Tanout,NE,84.13,broken clouds,14.9709,8.8879,
316,Tarakan,ID,81.9,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
326,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
330,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
334,Touros,BR,79.56,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
336,Buala,SB,84.06,light rain,-8.145,159.5921,Maringe Lagoon Lodge
341,Sola,VU,81.91,moderate rain,-13.8833,167.55,Leumerus Bungalows
342,Thung Song,TH,84.81,broken clouds,8.1645,99.6804,Jasmine Resort And Spa
344,Depok,ID,85.19,overcast clouds,-6.4,106.8186,OYO 2229 Dolfie Residence
349,Karwar,IN,81.84,few clouds,14.8,74.1333,Netalco Connects
350,Pouebo,NC,79.66,scattered clouds,-20.4,164.5667,RIVÂT LODGE
353,Hobyo,SO,83.8,broken clouds,5.3505,48.5268,Iftin hotel hobyo
365,Sibolga,ID,84.09,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
366,Pekan,MY,82.51,broken clouds,3.4836,103.3996,Pekan Budget Hotel
374,Bandrele,YT,80.35,moderate rain,-12.9067,45.1914,Les Baobabs
378,Singaparna,ID,82.56,overcast clouds,-7.3515,108.111,Wisma Dewi Hotel
380,Port Hedland,AU,78.85,broken clouds,-20.3167,118.5667,The Esplanade Hotel
385,Lubao,PH,89.31,overcast clouds,14.9167,120.55,Hacienda Gracia
387,Aripuana,BR,75.83,overcast clouds,-9.1667,-60.6333,
393,Port Hueneme,US,78.51,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
399,Gondanglegi,ID,83.41,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
401,Lagos,NG,80.92,overcast clouds,6.5833,3.75,
402,Lorengau,PG,84.74,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
403,Garoua,CM,82.67,overcast clouds,9.3,13.4,Dreamland Hotel Annexe Bockle
407,Tura,IN,76.05,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
408,Tezu,IN,75.0,overcast clouds,27.9167,96.1667,Circuit House
409,Mumford,GH,80.15,overcast clouds,5.2618,-0.759,Spanish Villa
410,Merauke,ID,79.39,overcast clouds,-8.4667,140.3333,
412,Cayenne,GF,82.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
413,Kimbe,PG,86.9,light rain,-5.5502,150.1429,Kimbe Bay Hotel
419,Banda Aceh,ID,84.78,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
423,Porto Novo,BJ,82.22,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
428,Pedasi,PA,78.06,overcast clouds,7.5333,-80.0333,Selina Pedasi
431,Buchanan,LR,79.05,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
434,Bislig,PH,80.33,light rain,8.2167,126.2833,Paper Country Inn
438,Sabha,LY,77.79,overcast clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
443,Namatanai,PG,84.58,light rain,-3.6667,152.4333,Seagulls Inn Namatani
446,Taitung,TW,75.47,light rain,22.7583,121.1444,Taitung Bali Suites Hotel
448,Manuk Mangkaw,PH,81.99,overcast clouds,4.8,119.85,
449,Ugoofaaru,MV,84.74,overcast clouds,5.6667,73.0,Ungoofaaru Inn
454,Makakilo City,US,77.02,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
455,Kavaratti,IN,84.97,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
463,Cockburn Town,TC,77.0,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
466,Mount Isa,AU,82.17,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
468,Nguru,NG,86.99,overcast clouds,12.8791,10.4526,Government Lodge
476,Bonthe,SL,79.84,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
478,Mogadishu,SO,81.0,moderate rain,2.0371,45.3438,Hotel Juba
480,Waingapu,ID,85.82,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
481,Batticaloa,LK,82.11,broken clouds,7.7102,81.6924,Grand Star Guest House
482,San Juan Del Sur,NI,81.39,overcast clouds,11.2529,-85.8705,Nuestra Casa
483,Basco,PH,82.36,few clouds,20.4487,121.9702,Nathaniel's Lodge
484,Lopez,PH,89.04,broken clouds,13.8844,122.2642,Kainang Pinoy (KP) Hotel and Restaurant
486,Porterville,US,81.59,clear sky,36.0652,-119.0168,"Holiday Inn Express & Suites Porterville, an IHG Hotel"
491,Wanning,CN,76.1,light rain,18.8003,110.3967,Paradise Hotel
493,Lamu,KE,80.29,light rain,-2.2717,40.902,Lamu House
494,Vao,NC,75.0,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
497,Grand Gaube,MU,75.6,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
500,Salalah,OM,82.4,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
503,Uturoa,PF,81.19,few clouds,-16.7333,-151.4333,Villa Tonoï
504,Uthal,PK,85.41,clear sky,25.8072,66.6219,Al-Mustafa Hotel
505,Pacajus,BR,81.75,overcast clouds,-4.1725,-38.4606,Hotel Espaço Verde
509,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
510,Malayal,PH,85.8,broken clouds,7.208,121.942,
511,Denpasar,ID,85.71,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
512,Beaufort,MY,88.14,broken clouds,5.3473,115.7455,The Gem Hotel Beaufort
522,Bima,ID,88.0,overcast clouds,-8.4667,118.7167,Lambitu Hotel
523,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
524,Luis Gil Perez,MX,87.91,overcast clouds,17.8667,-93.05,
527,New Iberia,US,76.1,few clouds,30.0035,-91.8187,La Quinta Inn & Suites by Wyndham New Iberia
529,Bandarbeyla,SO,82.11,broken clouds,9.4942,50.8122,JABIR HOTEL
531,Boa Vista,BR,78.78,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
533,Pedernales,DO,78.69,broken clouds,18.0384,-71.744,Hotel Costa Marina
540,Anito,PH,84.99,broken clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
544,Auki,SB,83.52,overcast clouds,-8.7676,160.7034,Auki Motel
548,Jimeta,NG,82.96,overcast clouds,9.2833,12.4667,Yola International Hotel
552,Alizai,PK,81.84,clear sky,33.5383,70.3462,Alizai Rest House
556,Poya,NC,80.69,scattered clouds,-21.35,165.15,
559,Quang Ngai,VN,82.83,overcast clouds,15.1167,108.8,Central Hotel
560,Sena Madureira,BR,76.51,overcast clouds,-9.0656,-68.6569,Hotel Central
562,Loiza,PR,77.07,moderate rain,18.4313,-65.8802,Puerto Rico Vacation Villas at Aquatika
575,Bodden Town,KY,80.01,few clouds,19.2833,-81.25,Will T Place
579,San Ignacio,BZ,75.25,few clouds,17.1561,-89.0714,Rainforest Haven Inn
580,Adrar,MR,75.43,few clouds,20.5022,-10.0711,
586,Petatlan,MX,76.08,broken clouds,17.5167,-101.2667,Hotel California Petatlán
587,Anloga,GH,81.88,light rain,5.7947,0.8973,Pin Drop Hotel
588,Andros Town,BS,76.8,clear sky,24.7,-77.7667,Hanks place
590,Escarcega,MX,75.38,overcast clouds,18.6089,-90.7454,Hotel Maria Isabel
591,Gizo,SB,83.95,light rain,-8.103,156.8419,Imagination Island
594,Esna,EG,79.9,few clouds,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
595,Carutapera,BR,75.02,broken clouds,-1.195,-46.02,Lidera
599,Del Rio,US,82.42,broken clouds,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
602,Mana,GF,77.7,few clouds,5.6592,-53.7767,LE SAMANA
604,Lakatoro,VU,80.82,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
605,Kefamenanu,ID,83.77,scattered clouds,-9.4467,124.4781,Sokowindo Losmen
610,Maningrida,AU,88.11,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
617,Mahibadhoo,MV,84.79,overcast clouds,3.7833,72.9667,Omadhoo Inn
626,Palu,ID,88.63,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
630,Dong Hoi,VN,75.97,moderate rain,17.4833,106.6,Nam Long Hotel
633,Sabang,ID,84.04,overcast clouds,5.8933,95.3214,Hotel Citra
634,Gouyave,GD,78.96,overcast clouds,12.1646,-61.7296,Rumboat Retreat
635,Karratha,AU,82.85,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
641,Banjar,ID,88.52,overcast clouds,-8.19,114.9675,The Hamsa Resort
643,Pecos,US,80.31,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos Northeast
654,Susangerd,IR,78.62,clear sky,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
656,Muisne,EC,76.86,light rain,0.6,-80.0333,Quinta Samay
657,Amuntai,ID,86.27,overcast clouds,-2.4177,115.2494,Hotel Balqis
658,Kendari,ID,85.59,scattered clouds,-3.945,122.4989,Hotel Wixel
662,Yola,NG,82.18,overcast clouds,9.2,12.4833,Muna Hotel
665,Bowen,AU,79.0,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
670,Christchurch,NZ,75.4,broken clouds,-43.5333,172.6333,The George
671,San Policarpo,PH,83.93,scattered clouds,12.1791,125.5072,Agapita M. Nicart
684,Qui Nhon,VN,83.46,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
685,Ouallam,NE,88.65,overcast clouds,14.3188,2.0866,
686,Cocorit,MX,80.28,few clouds,27.5833,-109.9667,Kaba Motel
687,Biltine,TD,86.94,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
690,Meulaboh,ID,81.27,overcast clouds,4.1363,96.1285,Kost Pria
697,Tirumullaivasal,IN,86.9,broken clouds,11.2333,79.8333,
701,Sokoto,NG,86.14,broken clouds,13.0609,5.239,Grand Ibro Hotel
702,Sikasso,ML,82.71,broken clouds,10.9167,-7.0,
710,Gwadar,PK,86.76,broken clouds,25.1216,62.3254,Sadaf Resort
714,Kribi,CM,78.35,overcast clouds,2.95,9.9167,La Grace Hôtel
717,Safaga,EG,77.23,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
718,Kangaba,ML,84.04,broken clouds,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
722,Champerico,GT,84.34,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
738,Cuajinicuilapa,MX,80.22,clear sky,16.4667,-98.4167,Pozo S. XVI
745,Miri,MY,85.71,broken clouds,4.4148,114.0089,"Mega Hotel, Miri"
748,Catemaco,MX,79.56,broken clouds,18.4167,-95.1167,Hotel Playa Cristal
749,Puerto Escondido,MX,81.91,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
753,Araouane,ML,78.84,clear sky,18.9048,-3.5265,
755,Namibe,AO,75.13,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
