City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Mataura,NZ,-46.1927,168.8643,53.47,96,100,2.21,light rain
1,Trairi,BR,-3.2778,-39.2689,75.76,91,91,5.44,overcast clouds
2,Saint George,US,37.1041,-113.5841,82.99,9,0,11.5,clear sky
3,Hithadhoo,MV,-0.6,73.0833,84.79,69,98,12.15,overcast clouds
4,Rikitea,PF,-23.1203,-134.9692,76.77,73,97,10.67,moderate rain
5,Mar Del Plata,AR,-38.0023,-57.5575,48.87,75,0,5.01,clear sky
6,Patterson,US,37.4716,-121.1297,75.02,47,0,8.57,clear sky
7,Hamilton,US,39.1834,-84.5333,68.88,77,0,16.11,clear sky
8,Tabou,CI,4.423,-7.3528,79.56,84,89,4.43,light rain
9,Atuona,PF,-9.8,-139.0333,79.21,76,5,11.61,clear sky
10,Tazovskiy,RU,67.4667,78.7,14.38,91,20,7.96,few clouds
11,Olafsvik,IS,64.8945,-23.7142,44.15,85,100,15.21,overcast clouds
12,Ayagoz,KZ,47.9714,80.4392,64.92,20,100,6.87,overcast clouds
13,Chuy,UY,-33.6971,-53.4616,56.26,75,100,5.79,overcast clouds
14,Svetlogorsk,BY,52.6333,29.7333,37.6,68,71,4.52,broken clouds
15,Hilo,US,19.7297,-155.09,78.53,83,100,6.91,overcast clouds
16,Yaan,NG,7.3833,8.5667,77.5,81,100,3.69,moderate rain
17,Nueva Loja,EC,0.0847,-76.8828,67.53,99,97,0.83,overcast clouds
18,Vulcan,RO,45.3833,23.2667,43.56,92,68,3.04,broken clouds
19,Cabo San Lucas,MX,22.8909,-109.9124,78.06,66,48,14.99,scattered clouds
20,Santa Cruz,BO,-17.8,-63.1667,71.06,88,0,4.61,clear sky
21,Jinchang,CN,38.4953,102.1739,50.43,24,10,1.01,clear sky
22,Busselton,AU,-33.65,115.3333,64.71,63,0,3.06,clear sky
23,Ushuaia,AR,-54.8,-68.3,40.66,65,20,13.8,few clouds
24,Albany,US,42.6001,-73.9662,52.21,55,4,3.4,clear sky
25,Tshikapa,CD,-6.4167,20.8,70.21,97,100,0.87,overcast clouds
26,Baton Rouge,US,30.4508,-91.1545,78.87,72,0,8.05,clear sky
27,Husavik,IS,66.0449,-17.3389,43.63,78,7,6.58,clear sky
28,Hanyang,CN,32.1371,105.5126,58.06,43,100,4.63,overcast clouds
29,Nikolskoye,RU,59.7035,30.7861,39.09,81,100,5.46,overcast clouds
30,Hermanus,ZA,-34.4187,19.2345,57.31,84,8,5.06,clear sky
31,Blackwater,AU,-23.5833,148.8833,82.45,42,25,11.32,scattered clouds
32,Teguise,ES,29.0605,-13.564,61.02,82,0,8.05,clear sky
33,Batemans Bay,AU,-35.7167,150.1833,71.91,47,14,3.76,few clouds
34,Bluff,NZ,-46.6,168.3333,53.8,96,100,1.52,light rain
35,Castro,BR,-24.7911,-50.0119,57.74,98,75,4.0,broken clouds
